input_chunk_length,output_chunk_length,hidden_size,num_attention_heads,lstm_layers,hidden_continuous_size,dropout,batch_size,n_epochs,lr,weight_decay,mql_0_50,rmse,mae,smape,mic_10_90
24,6,128,8,3,16,0.05,128,30,0.001,0,35.82687249,39.47282318,35.82687249,69.37616153,0.760263653
24,6,128,8,3,16,0.1,128,20,0.0015,0,36.52523292,40.1779389,36.52523292,70.18526523,0.814877589
24,6,128,8,3,16,0.1,128,20,0.0015,0,26.31463344,29.3554758,26.31463344,71.42951496,0.859322034
24,6,128,8,4,16,0.05,128,20,0.001,0,26.79046405,30.63218556,26.79046405,64.05936899,0.797175141
24,6,128,8,4,16,0.1,128,30,0.0015,0,25.35513534,28.76293751,25.35513534,62.98080661,0.743126177
24,6,96,2,3,16,0.1,128,40,0.0003,1.00E-05,29.3671453,33.44398249,29.3671453,68.97992165,0.827132657
24,6,256,1,3,8,0.3,128,40,0.002,0.0001,29.98369499,33.62009264,29.98369499,66.08827403,0.748402856
24,6,128,8,1,8,0.2,128,30,0.0015,0,25.92797555,29.32481733,25.92797555,62.8648642,0.749718151
24,6,64,8,1,8,0.05,128,20,0.0003,1.00E-05,35.8943219,41.0698684,35.8943219,70.00491778,0.943442315
24,6,192,2,2,8,0.1,128,30,0.0015,0.0001,43.24316529,47.73352354,43.24316529,75.20371934,0.79988726
24,6,128,8,3,16,0.05,128,20,0.001,0,24.89360227,28.38051984,24.89360227,60.23370132,0.780721533
24,6,192,2,1,8,0.05,64,30,0.001,1.00E-05,36.37197977,40.21776137,36.37197977,69.00228007,0.74220218
24,6,192,4,3,16,0.2,128,20,0.002,1.00E-06,31.31471998,35.60472595,31.31471998,72.25947519,0.862457723
24,6,96,4,2,32,0.2,64,40,0.0005,1.00E-05,25.45461836,28.95005976,25.45461836,61.93496436,0.752160842
24,6,64,2,3,32,0.05,128,30,0.0007,0.0001,48.24587632,52.50648956,48.24587632,79.52418283,0.664223976
