input_chunk_length,output_chunk_length,hidden_size,num_attention_heads,lstm_layers,hidden_continuous_size,dropout,batch_size,n_epochs,lr,weight_decay,mql_0_50,rmse,mae,smape,mic_10_90
24,6,96,2,3,16,0.1,128,40,0.0003,1e-05,29.367145299288797,33.443982489103036,29.367145299288797,68.97992165001638,0.8271326568959039
24,6,256,1,3,8,0.3,128,40,0.002,0.0001,29.98369498810346,33.62009263853489,29.98369498810346,66.08827402859643,0.748402856069147
24,6,128,8,1,8,0.2,128,30,0.0015,0.0,25.927975551243335,29.324817329354932,25.927975551243335,62.86486420341233,0.7497181510710259
24,6,64,8,1,8,0.05,128,20,0.0003,1e-05,35.894321902936795,41.06986839539438,35.894321902936795,70.00491777693193,0.9434423149192033
24,6,192,2,2,8,0.1,128,30,0.0015,0.0001,43.243165293203305,47.733523538282974,43.243165293203305,75.20371934199835,0.7998872604284104
24,6,128,8,3,16,0.05,128,20,0.001,0.0,24.89360226787263,28.380519837123213,24.89360226787263,60.233701318323895,0.7807215332581736
24,6,192,2,1,8,0.05,64,30,0.001,1e-05,36.37197976642603,40.21776137377864,36.37197976642603,69.00228007313473,0.7422021796317173
24,6,192,4,3,16,0.2,128,20,0.002,1e-06,31.31471997590559,35.60472595498725,31.31471997590559,72.25947518830237,0.8624577226606539
24,6,96,4,2,32,0.2,64,40,0.0005,1e-05,25.454618360449064,28.95005976192771,25.454618360449064,61.934964356024814,0.7521608417888013
24,6,64,2,3,32,0.05,128,30,0.0007,0.0001,48.24587632005201,52.50648955703357,48.24587632005201,79.52418283380857,0.6642239759488914
